,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
195,Downtown,,60,1,0.01,33,0,0
196,Downtown,385.0,30,4,0.04,41,365,2
197,Hastings-Sunrise,84.0,30,96,0.84,1,152,7
198,Dunbar Southlands,108.0,2,19,2.95,1,0,19
199,Kitsilano,275.0,2,116,1.01,1,269,16
200,Kitsilano,681.0,4,7,0.06,1,41,2
201,Hastings-Sunrise,,3,8,0.07,1,0,0
202,West End,125.0,30,103,0.9,1,316,3
203,Kitsilano,234.0,7,18,0.18,1,55,4
204,Renfrew-Collingwood,,4,4,0.04,1,0,0
205,Kitsilano,394.0,1,125,1.28,3,263,35
206,Renfrew-Collingwood,90.0,30,29,0.26,5,240,7
207,Dunbar Southlands,126.0,3,100,0.88,1,89,5
208,Downtown Eastside,95.0,2,449,3.95,1,0,42
209,Hastings-Sunrise,150.0,1,249,2.18,1,0,49
210,Downtown,452.0,30,12,0.1,5,365,0
211,Hastings-Sunrise,414.0,1,201,1.94,2,0,131
212,Grandview-Woodland,130.0,2,711,6.21,1,226,74
213,Renfrew-Collingwood,137.0,30,24,0.21,5,270,1
214,Downtown,380.0,90,0,,1,362,0
215,Grandview-Woodland,121.0,2,344,3.01,1,0,51
216,Grandview-Woodland,,3,96,1.0,1,0,0
217,West Point Grey,185.0,2,202,1.78,1,273,34
218,Kitsilano,,7,32,0.28,1,0,0
219,Mount Pleasant,199.0,4,64,0.56,1,0,0
220,Downtown,88.0,30,3,0.05,33,13,1
221,Riley Park,85.0,3,765,6.77,1,72,57
222,Grandview-Woodland,95.0,1,650,5.72,1,37,59
223,West End,141.0,30,201,1.77,1,71,9
224,Mount Pleasant,104.0,3,467,4.12,1,279,55
225,Grandview-Woodland,155.0,4,74,0.71,2,40,6
226,Kitsilano,395.0,30,0,,1,144,0
227,Downtown,98.0,30,212,1.9,1,0,0
228,West End,80.0,30,12,0.11,33,37,1
229,Mount Pleasant,321.0,2,251,2.23,1,220,45
230,Downtown,120.0,30,106,0.96,1,364,1
231,Grandview-Woodland,138.0,5,109,1.01,3,360,17
232,Downtown,542.0,1,0,,1,361,0
233,Downtown,169.0,30,18,0.17,13,364,0
234,Grandview-Woodland,229.0,3,121,1.17,1,356,8
235,Killarney,153.0,2,35,0.31,5,365,6
236,Downtown,,2,61,0.55,1,0,46
237,West End,123.0,30,63,0.57,1,346,0
238,Downtown Eastside,148.0,2,450,4.69,1,0,69
239,Hastings-Sunrise,132.0,2,70,3.0,1,76,38
240,Downtown,200.0,182,21,0.19,2,365,0
241,Kitsilano,,3,340,3.07,1,0,0
242,Kensington-Cedar Cottage,,5,38,0.42,1,0,0
243,Renfrew-Collingwood,55.0,4,306,2.76,2,0,23
244,Kitsilano,,5,12,0.12,1,0,0
245,Kitsilano,140.0,28,31,0.32,1,0,0
246,Kitsilano,675.0,2,28,0.27,1,88,17
247,Kitsilano,543.0,4,42,0.38,1,6,2
248,Kitsilano,155.0,30,117,1.06,1,161,6
249,West End,115.0,30,0,,1,70,0
250,Hastings-Sunrise,,3,12,0.11,2,0,1
251,West Point Grey,156.0,2,314,2.96,1,0,51
252,Mount Pleasant,225.0,30,73,0.68,2,364,0
253,Mount Pleasant,79.0,5,237,2.21,2,71,21
254,Renfrew-Collingwood,100.0,35,15,0.15,1,7,0
255,Grandview-Woodland,110.0,30,9,0.08,1,144,0
256,Riley Park,125.0,4,187,2.0,1,250,27
257,Kitsilano,250.0,31,82,0.78,1,133,0
258,Downtown,,6,3,0.03,1,0,0
259,Renfrew-Collingwood,65.0,31,5,0.05,5,50,0
260,Renfrew-Collingwood,65.0,31,2,0.02,5,134,0
261,Renfrew-Collingwood,150.0,31,12,0.16,5,135,2
262,Downtown,363.0,4,171,2.01,1,181,46
263,Kensington-Cedar Cottage,85.0,30,156,1.45,1,163,3
264,Downtown,250.0,30,18,0.18,8,181,2
265,Riley Park,100.0,5,67,0.64,2,254,13
266,Mount Pleasant,102.0,3,516,4.84,1,142,59
267,Grandview-Woodland,425.0,12,20,0.19,1,49,1
268,Grandview-Woodland,185.0,2,20,0.19,2,349,5
269,Fairview,95.0,3,143,1.38,2,156,20
270,Riley Park,81.0,30,58,0.72,3,0,9
271,West Point Grey,411.0,4,134,1.26,1,251,6
272,West End,,2,73,0.8,1,0,0
273,Shaughnessy,75.0,1,27,3.16,4,364,27
274,Shaughnessy,88.0,1,40,4.6,4,351,40
275,Downtown,200.0,30,17,0.17,8,59,3
276,Fairview,307.0,2,6,0.06,1,0,5
277,Mount Pleasant,,2,92,0.87,1,0,0
278,Fairview,85.0,30,10,0.1,3,254,4
279,Downtown,157.0,2,301,4.28,2,327,50
280,Downtown Eastside,,2,50,0.48,1,0,0
281,Downtown,125.0,31,6,0.06,2,179,4
282,West End,165.0,30,72,0.67,12,317,2
283,Downtown,118.0,30,166,1.55,3,251,5
284,Mount Pleasant,,10,10,0.11,1,0,0
285,Kensington-Cedar Cottage,119.0,2,948,8.92,1,0,102
286,West End,225.0,30,37,0.36,1,251,0
287,Kitsilano,149.0,7,92,1.15,2,169,5
288,Downtown,129.0,30,38,0.38,1,142,7
289,Grandview-Woodland,213.0,2,293,2.76,1,158,37
290,South Cambie,207.0,3,240,2.27,1,0,45
291,Downtown,114.0,30,63,0.6,1,364,2
292,Grandview-Woodland,135.0,1,416,4.04,1,0,66
293,Grandview-Woodland,249.0,21,83,1.04,1,54,0
294,West End,139.0,360,28,0.26,1,137,0
295,Grandview-Woodland,177.0,5,116,1.11,3,356,21
296,Downtown Eastside,,4,38,0.36,1,0,0
297,Grandview-Woodland,,85,1,0.01,1,0,0
298,Downtown,,30,8,0.1,33,0,2
299,Renfrew-Collingwood,108.0,3,341,4.35,1,45,54
300,West End,120.0,30,26,0.25,1,259,1
301,Grandview-Woodland,144.0,2,398,3.91,1,155,47
302,Downtown,175.0,30,3,0.15,8,164,2
303,Downtown,250.0,270,0,,1,0,0
304,Grandview-Woodland,764.0,4,19,0.18,1,162,0
305,West Point Grey,1118.0,3,38,0.37,1,151,3
306,Riley Park,,14,27,0.27,3,0,0
307,Downtown,299.0,30,135,1.43,2,303,11
308,Mount Pleasant,200.0,3,192,2.13,1,226,21
309,Fairview,,30,5,0.05,1,0,0
310,Hastings-Sunrise,52.0,5,80,0.77,2,10,14
311,Downtown,,60,14,0.14,1,0,0
312,Downtown,350.0,30,37,0.38,1,252,0
313,Mount Pleasant,607.0,3,79,0.77,1,323,15
314,Riley Park,140.0,30,87,0.84,1,365,6
315,Downtown,,1,29,0.28,2,0,0
316,Grandview-Woodland,,5,5,0.05,1,0,0
317,Hastings-Sunrise,,14,9,0.09,1,0,1
318,West End,156.0,30,171,1.66,1,364,0
319,Renfrew-Collingwood,150.0,30,17,0.16,5,90,3
320,Hastings-Sunrise,250.0,30,63,0.61,2,359,2
321,Downtown Eastside,325.0,30,277,2.66,1,83,4
322,Fairview,214.0,2,4,0.04,1,306,3
323,West End,,30,4,0.04,1,0,0
324,Downtown Eastside,149.0,75,7,0.09,1,104,0
325,Grandview-Woodland,,3,15,0.15,2,0,4
326,Mount Pleasant,,30,43,0.41,1,0,0
327,Grandview-Woodland,475.0,5,59,0.57,1,314,1
328,Downtown,141.0,5,125,1.41,1,170,36
329,Renfrew-Collingwood,68.0,30,62,0.6,3,53,3
330,Downtown,,30,24,0.23,1,0,0
331,Kitsilano,146.0,2,345,3.36,1,16,41
332,West End,63.0,30,258,2.74,2,69,6
333,Kitsilano,120.0,4,53,1.01,2,40,15
334,Riley Park,126.0,14,248,2.4,1,132,12
335,Downtown,61.0,30,344,3.32,2,62,3
336,Downtown Eastside,128.0,3,325,3.16,1,150,36
337,Downtown,250.0,399,0,,1,365,0
338,Fairview,,4,32,0.31,1,0,3
339,Downtown Eastside,131.0,3,154,1.49,1,355,28
340,Riley Park,107.0,90,127,1.24,1,299,24
341,Kensington-Cedar Cottage,,2,141,1.48,1,0,8
342,Dunbar Southlands,120.0,10,19,0.18,2,89,1
343,Kerrisdale,134.0,30,160,1.55,1,345,21
344,Mount Pleasant,191.0,10,44,0.43,1,28,0
345,Sunset,,3,29,0.28,1,0,5
346,West End,407.0,30,16,0.16,1,89,0
347,West End,102.0,1,455,4.42,1,0,90
348,Sunset,200.0,30,21,0.21,1,24,0
349,Kensington-Cedar Cottage,,30,12,0.13,1,0,0
350,Hastings-Sunrise,220.0,30,67,0.65,2,286,6
351,Victoria-Fraserview,100.0,30,78,0.76,1,292,4
352,Downtown,147.0,1,411,4.03,1,48,33
353,Kensington-Cedar Cottage,,30,24,0.23,1,0,0
354,Fairview,283.0,7,10,0.13,2,154,1
355,South Cambie,129.0,1,47,2.41,1,60,26
356,Downtown,125.0,2,147,1.87,1,172,45
357,Grandview-Woodland,105.0,2,183,2.03,1,29,24
358,Hastings-Sunrise,189.0,2,80,0.78,1,363,2
359,Downtown,250.0,30,3,0.03,1,88,0
360,Kitsilano,400.0,1,66,0.72,5,359,9
361,West Point Grey,213.0,30,64,0.64,1,304,6
362,Fairview,222.0,3,4,1.48,1,1,4
363,Riley Park,360.0,3,176,3.03,1,100,41
364,Grandview-Woodland,98.0,29,230,2.25,1,213,6
365,Kitsilano,118.0,1,85,0.84,3,119,9
366,West Point Grey,128.0,1,110,1.08,3,180,22
367,South Cambie,130.0,1,66,0.73,1,24,4
368,Renfrew-Collingwood,161.0,3,66,0.65,1,347,14
369,Mount Pleasant,204.0,30,147,1.44,2,173,0
370,Downtown,71.0,30,101,0.99,1,65,0
371,Downtown Eastside,130.0,2,780,7.72,1,335,85
372,Grandview-Woodland,,3,15,0.15,1,0,0
373,Mount Pleasant,92.0,2,148,1.46,1,0,37
374,Downtown,206.0,1,216,2.13,2,187,21
375,Downtown Eastside,,2,7,0.1,1,0,0
376,Mount Pleasant,,1,459,4.53,1,0,56
377,Mount Pleasant,,2,0,,1,0,0
378,Downtown,,30,2,0.02,1,0,0
379,Riley Park,80.0,3,7,0.23,2,80,6
380,Marpole,42.0,31,57,0.58,6,151,4
381,Downtown Eastside,196.0,3,214,2.12,1,10,31
382,Mount Pleasant,89.0,2,96,1.35,2,15,30
383,Renfrew-Collingwood,40.0,30,59,0.59,6,100,3
384,Downtown,,4,5,0.06,1,0,0
385,Downtown Eastside,210.0,30,133,1.4,3,63,4
386,Marpole,41.0,31,66,0.66,6,0,2
387,Marpole,53.0,31,60,0.63,6,199,4
388,Marpole,56.0,31,54,0.54,6,260,3
389,Marpole,43.0,31,37,0.37,6,193,1
390,Marpole,152.0,31,101,1.02,6,1,0
391,Downtown,202.0,1,41,5.54,1,161,41
392,Downtown,195.0,60,3,0.05,3,363,0
393,Downtown,229.0,5,60,0.6,1,292,12
394,Mount Pleasant,,90,15,0.16,1,0,0
395,Downtown Eastside,160.0,30,34,0.35,1,305,4
396,Sunset,,4,9,0.09,2,0,0
397,Downtown,150.0,30,34,0.35,8,313,3
398,Kensington-Cedar Cottage,85.0,1,212,2.1,2,195,32
399,Killarney,,3,119,1.18,1,0,0
400,West End,,30,0,,1,0,0
401,Strathcona,176.0,2,128,1.27,1,89,17
402,Kitsilano,398.0,6,6,0.06,1,11,0
403,Downtown,800.0,30,19,0.19,1,365,0
404,Kitsilano,179.0,30,34,0.37,1,164,5
405,West End,275.0,30,1,0.15,2,18,1
406,Riley Park,,3,4,0.06,1,0,0
407,Kitsilano,230.0,90,1,0.01,2,134,0
408,Grandview-Woodland,120.0,2,336,3.39,1,105,62
409,Downtown,180.0,60,61,0.61,1,0,0
410,West End,300.0,30,0,,1,358,0
411,Strathcona,126.0,2,465,4.88,1,0,87
412,Downtown,195.0,30,99,1.0,1,57,3
413,Grandview-Woodland,,4,5,0.05,1,0,0
414,Fairview,170.0,4,123,2.23,1,67,35
415,Mount Pleasant,135.0,7,99,1.07,1,295,14
416,Downtown,,90,27,0.27,1,0,0
417,Downtown,125.0,3,116,1.21,1,123,16
418,Riley Park,,6,5,0.05,1,0,0
419,Downtown Eastside,95.0,3,276,3.03,2,89,41
420,Kitsilano,292.0,30,33,0.35,1,365,0
421,Sunset,120.0,5,168,1.71,2,0,33
422,Kensington-Cedar Cottage,80.0,4,146,1.55,1,72,23
423,Kitsilano,,3,3,0.05,1,0,0
424,Riley Park,65.0,6,124,1.25,1,175,19
425,Kitsilano,272.0,30,24,0.25,1,102,1
426,Mount Pleasant,150.0,3,320,3.3,1,174,39
427,Mount Pleasant,75.0,30,40,0.4,1,1,0
428,Renfrew-Collingwood,90.0,5,117,1.19,1,168,3
429,West End,195.0,30,62,0.64,1,89,0
430,Downtown Eastside,92.0,90,14,0.16,1,111,2
431,Sunset,,30,21,0.23,1,0,0
432,West End,144.0,30,183,1.87,1,52,4
433,Hastings-Sunrise,68.0,186,0,,2,359,0
434,Downtown,155.0,30,42,0.46,12,124,4
435,Kensington-Cedar Cottage,,4,2,0.03,1,0,0
436,Mount Pleasant,,2,29,0.34,1,0,0
437,Kitsilano,93.0,90,24,0.26,4,161,0
438,Hastings-Sunrise,,3,318,3.22,1,0,0
439,Kitsilano,220.0,3,9,0.13,3,175,2
440,Riley Park,,4,8,0.09,1,0,0
441,Kensington-Cedar Cottage,,30,7,0.11,1,0,0
442,Kitsilano,120.0,2,10,0.65,1,360,6
443,Downtown,,90,4,0.04,1,0,0
444,Grandview-Woodland,101.0,30,105,1.1,4,118,0
445,Hastings-Sunrise,190.0,3,83,0.86,1,6,6
446,Grandview-Woodland,,3,39,0.41,1,0,0
447,Downtown,275.0,180,47,0.49,7,348,4
448,Mount Pleasant,199.0,1,101,1.09,1,180,23
449,Hastings-Sunrise,116.0,2,27,3.91,1,0,27
450,Downtown,130.0,30,207,2.13,1,82,4
451,Downtown Eastside,,90,27,0.28,4,0,1
452,Kitsilano,98.0,30,10,0.68,1,44,8
453,Hastings-Sunrise,,4,4,0.04,1,0,3
454,Kitsilano,285.0,2,16,0.5,3,263,7
455,Downtown Eastside,137.0,1,179,1.85,6,161,19
456,West End,200.0,30,17,0.18,1,71,11
457,Downtown,200.0,7,30,0.33,1,30,16
458,Downtown,,2,41,0.46,1,0,0
459,South Cambie,,2,31,0.33,1,0,2
460,Kitsilano,77.0,30,42,0.45,2,222,4
461,West End,129.0,2,269,2.82,1,0,41
462,South Cambie,,1,309,3.38,1,0,53
463,West End,254.0,30,66,0.71,2,264,2
464,Kensington-Cedar Cottage,,3,3,0.04,1,0,0
465,Grandview-Woodland,174.0,3,172,1.83,2,55,34
466,Downtown,151.0,1,55,0.58,5,0,0
467,Downtown Eastside,170.0,2,175,1.85,1,0,52
468,Downtown Eastside,,32,41,0.44,1,0,0
469,Dunbar Southlands,119.0,28,170,1.79,1,256,2
470,Mount Pleasant,150.0,365,31,0.33,1,365,0
471,Marpole,99.0,2,7,2.56,1,175,7
472,West End,,30,75,0.79,2,0,0
473,Renfrew-Collingwood,34.0,30,50,0.56,3,90,7
474,Grandview-Woodland,238.0,5,132,1.41,3,321,15
475,Kensington-Cedar Cottage,375.0,3,24,0.27,1,85,6
476,Downtown Eastside,276.0,2,141,1.54,1,141,11
477,Kitsilano,299.0,5,183,1.96,1,351,13
478,Kitsilano,,30,53,0.56,1,0,0
479,Riley Park,180.0,5,157,1.68,1,290,17
480,Hastings-Sunrise,104.0,3,207,2.26,1,185,45
481,Kensington-Cedar Cottage,60.0,30,12,0.13,3,160,2
482,Kensington-Cedar Cottage,46.0,30,9,0.11,3,106,1
483,Downtown,350.0,2,24,0.26,1,49,2
484,Kitsilano,600.0,3,154,1.69,1,272,25
485,Downtown,165.0,30,153,1.62,1,52,27
486,Kensington-Cedar Cottage,45.0,30,9,0.1,3,34,2
487,Grandview-Woodland,195.0,30,0,,1,345,0
488,Riley Park,165.0,3,173,2.51,1,3,37
489,Kensington-Cedar Cottage,210.0,2,173,1.84,1,261,27
490,Downtown,100.0,90,44,0.49,1,273,3
491,Kitsilano,76.0,1,191,2.06,1,65,0
492,Renfrew-Collingwood,145.0,1,20,3.97,4,58,20
493,West Point Grey,135.0,4,223,2.43,4,245,37
494,Kensington-Cedar Cottage,71.0,1,18,1.15,6,323,6
495,Kitsilano,,5,59,0.63,1,0,2
496,Grandview-Woodland,249.0,30,16,0.17,1,352,2
497,Sunset,,2,112,1.21,1,0,0
498,Downtown,151.0,1,59,0.68,5,0,0
499,Downtown,150.0,1,63,0.85,5,0,0
500,Downtown,171.0,4,97,1.04,1,7,29
501,West End,185.0,30,41,0.44,13,298,4
502,Downtown,253.0,30,13,0.14,1,254,4
503,Kitsilano,110.0,30,52,0.56,4,41,0
504,Downtown,350.0,30,5,0.06,2,364,1
505,Kensington-Cedar Cottage,141.0,1,110,8.31,1,254,108
506,Mount Pleasant,275.0,7,22,0.24,1,339,2
507,Hastings-Sunrise,140.0,2,210,3.29,1,66,50
508,Downtown,180.0,2,215,2.31,1,0,41
509,Downtown,300.0,30,0,,1,179,0
510,Downtown Eastside,,30,14,0.17,1,0,0
511,Kensington-Cedar Cottage,3500.0,2,62,0.68,1,262,9
