,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1698,141.0,30,24,0.43,2,214,2
1699,204.0,28,58,1.02,1,172,2
1700,77.0,1,160,2.88,1,0,97
1701,200.0,30,39,0.73,1,40,5
1702,,1,9,0.16,2,0,0
1703,220.0,5,17,0.3,1,30,3
1704,100.0,1,18,0.33,2,9,8
1705,249.0,2,185,3.42,1,26,75
1706,,1,47,0.84,1,0,0
1707,94.0,1,201,3.56,1,0,52
1708,92.0,1,157,2.78,1,164,55
1709,70.0,2,193,3.43,1,19,39
1710,129.0,1,130,2.3,3,10,23
1711,365.0,5,6,0.11,30,172,0
1712,,3,115,2.03,1,0,26
1713,99.0,1,238,4.26,2,16,60
1714,119.0,1,94,1.68,3,90,16
1715,2121.0,10,2,0.05,2,160,1
1716,152.0,30,17,0.36,2,0,1
1717,127.0,1,191,3.39,3,169,49
1718,220.0,2,23,0.41,1,173,0
1719,103.0,2,159,2.98,1,17,54
1720,189.0,3,55,0.99,1,0,17
1721,82.0,3,128,2.35,1,0,36
1722,59.0,2,81,1.45,2,167,33
1723,52.0,30,9,0.17,2,359,3
1724,83.0,1,327,5.8,1,154,104
1725,120.0,2,125,2.25,1,178,40
1726,,5,12,0.22,1,0,0
1727,124.0,3,83,1.47,1,5,20
1728,325.0,30,2,0.04,2,179,0
1729,,30,3,0.06,1,0,0
1730,153.0,2,344,6.12,1,58,91
1731,60.0,1,233,4.19,1,81,58
1732,103.0,2,38,0.69,1,43,0
1733,129.0,3,210,3.77,1,137,60
1734,29.0,30,17,0.3,4,37,0
1735,170.0,2,102,1.85,1,117,32
1736,160.0,3,95,1.7,1,11,30
1737,60.0,1,148,2.66,1,79,28
1738,100.0,1,28,0.5,3,168,12
1739,200.0,14,13,0.24,3,32,2
1740,270.0,3,65,1.17,1,7,24
1741,103.0,30,21,0.39,1,248,3
1742,75.0,1,15,0.27,1,0,0
1743,188.0,1,25,0.45,2,365,14
1744,298.0,180,123,2.22,2,159,16
1745,,2,18,0.33,1,0,0
1746,116.0,2,236,4.25,1,150,69
1747,,30,1,0.02,2,0,0
1748,,3,6,0.11,2,0,0
1749,,27,20,0.36,1,0,3
1750,183.0,1,245,4.39,1,0,63
1751,,3,5,0.09,1,0,0
1752,,260,21,0.38,1,0,0
1753,109.0,30,180,3.21,1,49,3
1754,269.0,3,1,0.02,1,0,0
1755,,3,51,0.92,1,0,0
1756,,20,16,0.33,1,0,0
1757,108.0,1,32,0.6,2,365,12
1758,105.0,30,1,0.06,3,364,0
1759,,1,24,0.43,2,0,0
1760,300.0,3,43,0.77,2,126,7
1761,150.0,30,6,0.11,1,199,0
1762,128.0,2,9,2.27,1,75,9
1763,57.0,2,7,1.91,2,122,7
1764,250.0,30,7,0.14,1,364,0
1765,80.0,3,49,0.89,2,0,21
1766,,30,1,0.15,1,0,1
1767,106.0,1,336,6.22,1,0,75
1768,107.0,2,61,1.17,1,0,49
1769,198.0,1,110,1.99,1,169,41
1770,250.0,90,7,0.14,4,92,1
1771,441.0,3,41,0.77,1,0,21
1772,90.0,1,265,4.8,1,0,82
1773,100.0,2,47,0.89,1,109,25
1774,,7,1,0.02,1,0,0
1775,,1,0,,1,0,0
1776,,4,48,0.9,1,0,0
1777,92.0,2,114,2.08,1,70,47
1778,543.0,30,0,,1,0,0
1779,210.0,3,4,0.07,1,127,0
1780,,1,0,,2,0,0
1781,,1,0,,2,0,0
1782,241.0,2,5,1.34,1,101,5
1783,,2,28,0.51,1,0,0
1784,,6,11,0.2,2,0,0
1785,90.0,30,57,1.05,1,130,6
1786,166.0,30,19,0.43,1,197,5
1787,120.0,90,4,0.1,1,282,0
1788,,28,5,0.1,1,0,0
1789,,30,1,0.02,1,0,0
1790,500.0,2,40,3.67,2,145,40
1791,,7,11,0.2,1,0,0
1792,,3,16,0.29,1,0,0
1793,116.0,3,116,2.1,2,298,23
1794,109.0,1,101,1.84,3,80,23
1795,,1,5,0.09,1,0,0
1796,39.0,7,33,0.59,4,38,0
1797,230.0,7,4,0.08,1,30,2
1798,96.0,1,79,1.44,2,13,23
1799,25.0,7,20,0.37,4,23,1
1800,125.0,30,15,0.28,1,58,4
1801,106.0,2,73,1.33,3,146,38
1802,,90,0,,1,0,0
1803,183.0,30,15,0.28,13,343,2
1804,170.0,30,48,0.89,2,4,6
1805,110.0,3,76,1.39,1,266,35
1806,,90,0,,2,0,0
1807,,3,13,0.24,1,0,0
1808,132.0,90,25,0.47,1,364,3
1809,94.0,2,152,2.77,1,79,47
1810,,30,1,0.02,2,0,0
1811,218.0,3,71,1.29,1,320,19
1812,102.0,2,278,5.15,1,0,87
1813,134.0,1,16,0.31,1,0,2
1814,50.0,2,15,0.27,1,0,0
1815,154.0,3,92,1.67,1,259,33
1816,150.0,2,50,0.93,2,88,13
1817,188.0,30,12,0.22,3,225,5
1818,,1,2,0.04,1,0,0
1819,155.0,1,298,5.42,1,337,90
1820,119.0,1,176,3.22,1,9,55
1821,,4,23,0.42,1,0,5
1822,61.0,2,106,1.96,1,136,36
1823,1000.0,180,22,0.41,1,83,0
1824,,20,40,0.74,2,0,4
1825,250.0,90,8,0.15,3,189,1
1826,,4,9,0.17,1,0,3
1827,134.0,30,103,1.9,1,323,16
1828,,1,17,0.31,1,0,0
1829,140.0,30,13,0.25,1,158,5
1830,,30,0,,1,0,0
1831,,3,2,0.04,1,0,0
1832,,1,44,0.81,1,0,18
1833,165.0,30,13,0.25,1,263,2
1834,70.0,5,63,1.15,1,67,1
1835,129.0,31,98,1.79,1,255,0
1836,423.0,3,33,0.61,1,190,12
1837,168.0,3,166,3.03,1,90,38
1838,129.0,30,66,1.22,1,128,11
1839,111.0,30,56,1.04,4,116,10
1840,108.0,30,20,0.38,1,55,4
1841,320.0,30,13,0.26,1,168,0
1842,319.0,30,1,0.02,1,179,0
1843,235.0,1,49,0.89,2,162,1
1844,125.0,30,8,0.19,37,204,1
1845,104.0,2,178,3.25,1,269,42
1846,420.0,7,1,0.02,1,11,0
1847,180.0,2,128,2.35,1,173,37
1848,320.0,2,29,0.54,1,3,3
1849,,2,11,0.2,2,0,0
1850,129.0,1,118,2.21,1,87,53
1851,45.0,30,19,0.36,2,31,3
1852,,3,13,0.24,1,0,0
1853,100.0,30,57,1.05,4,12,6
1854,279.0,2,104,1.91,1,351,7
1855,102.0,1,301,5.5,1,0,105
1856,42.0,95,1,0.12,4,17,1
1857,42.0,80,6,0.11,1,119,3
1858,206.0,2,201,3.68,1,1,66
1859,589.0,3,3,0.63,1,87,3
1860,,4,21,0.39,2,0,0
1861,221.0,30,30,0.57,2,316,6
1862,120.0,30,3,0.06,11,89,0
1863,,3,9,0.17,1,0,0
1864,73.0,2,196,3.63,1,40,37
1865,,2,22,0.41,1,0,0
1866,75.0,30,21,0.39,5,46,10
1867,300.0,181,30,0.56,1,364,0
1868,100.0,30,2,0.08,30,365,0
1869,104.0,1,152,2.81,1,0,40
1870,110.0,30,16,0.31,37,177,4
1871,,1,3,0.06,2,0,0
1872,,30,7,0.13,1,0,0
1873,,2,0,,1,0,0
1874,,3,31,0.57,1,0,0
1875,,7,1,0.02,2,0,0
1876,139.0,3,62,1.16,1,0,17
1877,55.0,1,69,1.27,2,323,33
1878,,30,59,1.09,1,0,0
1879,130.0,90,10,0.22,3,192,5
1880,149.0,2,61,1.17,1,0,0
1881,,1,8,0.15,2,0,0
1882,521.0,30,6,0.11,1,364,0
1883,,1,4,0.07,2,0,0
1884,140.0,1,104,1.91,1,0,44
1885,40.0,1,2,0.04,6,0,0
1886,74.0,1,67,1.25,2,352,29
1887,198.0,30,46,0.85,5,365,0
1888,,2,11,0.2,2,0,0
1889,,2,113,2.09,1,0,16
1890,380.0,4,15,0.28,1,4,7
1891,217.0,90,0,,13,334,0
1892,179.0,2,163,3.02,1,81,54
1893,165.0,30,0,,1,153,0
1894,82.0,2,0,,1,0,0
1895,,1,4,0.08,1,0,0
1896,40.0,1,1,0.02,6,0,0
1897,50.0,1,0,,6,0,0
1898,115.0,3,146,2.71,1,169,45
1899,140.0,90,13,0.31,1,133,3
1900,,3,38,0.73,1,0,0
1901,125.0,30,8,0.21,37,245,4
1902,,1,11,0.23,2,0,1
1903,80.0,2,98,1.83,1,316,46
1904,89.0,1,15,0.28,3,0,0
1905,200.0,5,1,0.02,1,18,0
1906,,1,1,0.02,2,0,0
1907,250.0,30,0,,1,0,0
1908,139.0,2,52,0.99,1,187,19
1909,249.0,3,80,1.48,2,7,28
1910,206.0,30,81,1.51,2,204,2
1911,79.0,2,259,4.8,1,0,83
1912,257.0,3,45,1.7,1,3,10
1913,,2,7,0.13,2,0,0
1914,133.0,3,64,1.22,1,176,19
1915,,1,57,1.06,1,0,0
1916,128.0,1,22,0.41,3,143,4
1917,164.0,6,8,0.16,1,0,0
1918,,3,3,0.06,2,0,0
1919,584.0,15,0,,30,89,0
1920,233.0,30,0,,1,347,0
1921,80.0,30,2,0.06,1,349,0
1922,,30,2,0.04,1,0,0
1923,160.0,30,0,,1,81,0
1924,177.0,4,30,0.56,1,109,12
1925,400.0,3,21,0.4,1,58,2
1926,95.0,30,12,0.25,42,67,1
1927,163.0,90,1,0.17,13,154,1
1928,,3,35,0.66,2,0,0
1929,429.0,3,11,0.38,1,2,3
1930,83.0,1,274,5.16,1,83,98
1931,159.0,30,28,0.53,1,102,0
1932,,1,16,0.3,1,0,0
1933,135.0,30,106,2.06,1,38,4
1934,123.0,30,8,0.34,1,88,3
1935,,3,9,0.17,1,0,0
1936,237.0,1,185,3.45,1,0,80
1937,,1,20,0.39,2,0,0
1938,,3,0,,1,0,0
1939,120.0,2,95,1.79,1,130,51
1940,212.0,30,8,0.15,1,0,0
1941,373.0,30,1,0.04,1,365,0
1942,239.0,1,10,2.07,1,259,10
1943,52.0,2,76,1.43,2,28,37
1944,284.0,2,25,0.47,2,68,18
1945,151.0,3,133,2.5,1,68,28
1946,40.0,1,7,0.13,6,0,0
1947,,1,35,0.67,1,0,0
1948,107.0,1,197,3.8,1,187,96
1949,,1,4,0.07,1,0,0
1950,350.0,3,8,0.15,1,0,2
1951,146.0,2,74,2.91,1,38,40
1952,471.0,3,68,1.31,1,49,27
1953,182.0,30,8,0.15,11,89,0
1954,159.0,2,243,4.58,1,334,80
1955,52.0,2,55,1.06,1,0,0
1956,150.0,28,3,0.06,1,15,0
1957,84.0,1,144,2.74,1,90,29
1958,135.0,30,22,0.43,1,133,5
1959,249.0,30,22,0.42,1,0,0
1960,221.0,30,1,0.22,2,332,1
1961,35.0,30,16,0.39,4,70,4
1962,3250.0,180,0,,1,0,0
1963,300.0,30,2,0.35,1,304,2
1964,,2,25,0.85,1,0,0
1965,,1,5,0.09,2,0,0
1966,115.0,30,3,0.06,42,165,0
1967,300.0,3,81,1.54,1,207,21
1968,149.0,30,4,0.08,5,179,0
1969,81.0,1,393,7.4,1,0,141
1970,95.0,2,141,2.91,1,0,49
1971,166.0,2,94,1.79,21,354,43
1972,,2,1,0.02,1,0,0
1973,400.0,30,0,,4,225,0
1974,,2,6,0.11,1,0,0
1975,50.0,30,11,0.23,4,141,5
1976,131.0,2,113,2.13,1,344,53
1977,85.0,2,31,0.58,1,0,0
1978,275.0,3,45,0.86,1,68,7
1979,119.0,2,160,3.21,1,0,59
1980,152.0,30,2,0.04,2,18,0
1981,142.0,30,2,0.04,11,89,0
1982,150.0,30,1,0.05,5,316,0
1983,140.0,30,54,1.02,3,227,5
1984,,30,0,,1,0,0
1985,189.0,3,108,2.31,1,330,41
1986,139.0,1,2,0.04,3,0,0
1987,,1,3,0.06,1,0,0
1988,159.0,1,2,0.04,3,0,0
1989,75.0,45,2,0.1,3,362,1
1990,,1,67,1.27,1,0,0
1991,970.0,5,14,0.29,1,358,7
1992,275.0,30,0,,1,0,0
1993,45.0,1,1,0.02,6,0,0
1994,,2,2,0.04,1,0,0
1995,129.0,30,4,0.08,5,180,0
1996,55.0,150,0,,1,172,0
1997,296.0,3,80,1.56,1,103,29
1998,125.0,28,49,1.05,1,133,4
1999,,3,4,0.08,1,0,0
2000,71.0,30,129,2.45,1,333,5
2001,167.0,3,83,1.61,16,165,21
2002,,3,32,0.68,1,0,0
2003,144.0,3,143,2.75,1,9,45
2004,152.0,31,3,0.23,1,285,2
2005,,30,3,0.06,1,0,0
2006,549.0,2,69,1.32,1,101,22
2007,,4,0,,1,0,0
2008,129.0,30,49,0.94,4,180,14
2009,104.0,3,6,0.12,1,0,0
2010,99.0,2,45,0.87,1,95,7
2011,,2,103,1.96,1,0,17
2012,186.0,1,13,0.25,1,26,8
2013,117.0,2,62,1.18,2,179,19
2014,294.0,3,74,1.43,1,333,20
2015,,2,0,,1,0,0
2016,,2,30,0.58,1,0,0
2017,64.0,1,230,4.41,1,122,76
2018,170.0,30,3,0.19,2,183,2
2019,227.0,2,244,4.73,1,5,43
2020,150.0,30,63,1.21,1,43,18
2021,,2,6,0.12,1,0,0
2022,105.0,30,266,5.22,1,179,45
2023,,2,2,0.04,1,0,0
2024,98.0,2,3,0.06,2,0,0
2025,120.0,31,26,0.51,1,117,4
2026,75.0,30,16,0.32,1,129,5
2027,109.0,1,109,2.13,1,214,20
2028,83.0,1,303,5.84,1,0,73
2029,145.0,90,2,0.04,2,269,1
2030,,8,0,,1,0,0
2031,,1,8,0.15,1,0,0
2032,,2,18,0.35,1,0,0
2033,99.0,3,6,0.12,2,0,0
2034,150.0,5,1,0.02,1,0,0
2035,136.0,3,143,2.76,1,42,24
2036,180.0,30,49,0.94,1,58,1
2037,,2,36,0.7,1,0,15
2038,,3,63,2.84,1,0,46
2039,64.0,4,119,2.3,1,185,29
2040,,1,14,0.29,1,0,0
2041,290.0,30,1,0.22,1,179,1
2042,85.0,1,10,0.2,3,41,2
2043,182.0,7,15,0.3,1,80,8
2044,95.0,2,176,3.53,2,37,47
2045,128.0,1,3,3.0,1,202,3
2046,,2,2,0.04,1,0,0
2047,498.0,2,65,1.28,1,352,17
2048,159.0,30,11,0.23,4,174,2
2049,,2,0,,1,0,0
2050,105.0,1,99,4.9,1,311,40
2051,300.0,30,4,0.13,1,286,1
2052,185.0,1,280,5.62,1,199,73
2053,127.0,30,15,0.31,1,301,5
2054,,3,10,0.2,1,0,1
2055,36.0,30,26,0.54,6,194,8
2056,170.0,1,205,4.02,2,18,86
2057,150.0,3,97,1.92,1,160,26
2058,140.0,1,199,3.93,1,20,34
2059,,2,27,0.53,1,0,0
2060,,30,0,,1,0,0
2061,309.0,1,22,0.43,1,0,0
2062,175.0,30,9,0.2,1,193,2
2063,75.0,2,235,4.72,1,109,61
2064,40.0,1,5,0.1,6,0,0
2065,,30,1,0.02,2,0,0
2066,150.0,2,67,4.04,1,338,44
2067,100.0,90,0,,1,150,0
2068,161.0,2,370,7.32,1,0,88
2069,,2,5,0.1,1,0,0
2070,,60,0,,1,0,0
2071,,30,3,0.09,1,0,0
2072,,31,0,,1,0,0
2073,42.0,30,2,0.17,4,102,2
2074,130.0,30,51,1.0,5,2,5
2075,,2,1,0.02,1,0,0
2076,220.0,3,119,2.44,21,293,36
2077,175.0,3,32,0.63,2,0,0
2078,,29,16,0.32,1,0,0
2079,175.0,11,31,0.62,1,122,13
2080,,1,2,0.04,1,0,0
2081,121.0,2,60,1.2,1,63,40
2082,83.0,2,130,2.62,1,30,11
2083,145.0,90,10,0.2,1,362,0
2084,189.0,7,7,0.29,3,68,3
2085,215.0,3,44,0.87,1,360,26
2086,359.0,90,0,,1,179,0
2087,119.0,30,30,0.6,4,126,4
2088,135.0,30,49,0.98,13,342,2
2089,145.0,30,15,0.31,3,290,4
2090,73.0,2,99,1.97,1,126,27
2091,549.0,3,1,0.04,2,0,0
2092,110.0,1,47,0.94,1,308,24
2093,48.0,360,13,0.26,1,0,0
2094,96.0,1,176,3.61,1,351,50
2095,113.0,1,240,4.88,1,0,107
2096,188.0,3,48,0.98,3,168,20
2097,95.0,90,21,0.45,2,98,8
2098,276.0,31,4,0.08,1,304,0
2099,,15,2,0.04,1,0,0
2100,34.0,30,20,0.4,6,130,3
2101,40.0,30,12,0.25,6,102,0
2102,132.0,30,10,0.2,1,97,5
2103,102.0,2,151,3.02,1,0,34
2104,539.0,3,42,0.86,1,0,23
2105,,3,1,0.02,1,0,0
2106,,1,8,0.16,1,0,0
2107,,2,14,0.28,1,0,0
2108,80.0,30,10,0.21,8,252,7
2109,270.0,1,2,0.04,2,0,0
2110,157.0,2,50,1.04,1,179,17
2111,369.0,2,25,1.59,1,62,15
2112,,2,1,0.02,1,0,0
2113,240.0,3,15,0.31,1,0,0
2114,54.0,30,13,0.28,8,259,5
2115,204.0,90,0,,13,258,0
2116,1199.0,2,35,3.89,1,254,35
2117,,30,0,,1,0,0
2118,,3,41,0.87,1,0,26
2119,127.0,4,89,1.81,1,8,21
2120,115.0,2,228,4.68,1,88,80
2121,65.0,2,4,0.08,3,0,0
2122,,2,18,0.36,1,0,5
2123,129.0,30,2,0.04,1,206,0
2124,,31,0,,1,0,0
2125,196.0,7,18,0.96,1,3,12
2126,279.0,7,65,1.35,1,69,24
2127,178.0,3,93,1.88,21,131,29
2128,125.0,30,34,0.69,2,175,7
2129,225.0,2,125,2.54,1,138,43
2130,,1,3,0.06,1,0,0
2131,213.0,3,66,2.8,2,26,32
2132,225.0,2,40,1.39,1,15,16
2133,135.0,30,1,0.06,1,29,0
2134,180.0,2,90,1.83,1,166,20
2135,150.0,30,4,0.09,1,196,0
2136,138.0,1,290,5.95,1,29,82
2137,230.0,1,63,1.28,1,0,0
2138,122.0,1,17,0.35,1,336,2
2139,289.0,1,33,0.8,4,234,10
2140,250.0,30,9,0.18,3,363,0
2141,,30,7,0.14,1,0,0
2142,217.0,1,299,6.1,2,0,110
2143,69.0,3,7,0.15,3,10,2
2144,75.0,3,22,0.45,3,10,6
2145,93.0,2,2,0.04,1,0,0
2146,,30,0,,1,0,0
2147,,2,2,0.04,1,0,0
2148,254.0,30,0,,5,194,0
2149,,31,3,0.14,1,0,1
2150,299.0,3,32,0.68,1,246,5
2151,169.0,3,67,1.38,1,269,24
2152,59.0,1,217,4.45,1,118,80
2153,400.0,14,5,1.06,1,154,5
2154,,30,0,,1,0,0
2155,299.0,27,13,0.28,6,90,5
2156,100.0,30,21,0.45,1,279,5
2157,100.0,1,9,0.19,2,89,6
2158,950.0,1,83,1.72,1,179,25
2159,185.0,30,13,0.29,4,57,7
2160,58.0,2,45,0.92,1,4,18
2161,,7,1,0.02,1,0,0
2162,193.0,365,0,,5,365,0
2163,108.0,30,27,0.55,2,365,1
2164,82.0,30,76,1.89,26,172,10
2165,239.0,30,6,0.12,6,89,1
2166,,5,1,0.06,1,0,0
2167,,3,0,,1,0,0
2168,70.0,6,74,1.61,1,79,22
2169,,1,0,,1,0,0
2170,130.0,30,21,3.5,1,228,21
2171,100.0,365,0,,5,365,0
2172,506.0,2,92,3.05,1,80,33
2173,488.0,3,105,2.2,1,48,40
2174,154.0,1,185,3.82,1,0,61
2175,,2,0,,1,0,0
2176,,30,0,,2,0,0
2177,,2,31,0.64,2,0,0
2178,76.0,2,96,2.02,3,17,20
2179,132.0,30,16,0.33,1,313,5
2180,142.0,2,195,4.1,1,213,76
2181,400.0,30,1,0.03,2,365,0
2182,,3,1,0.02,1,0,0
2183,93.0,30,13,0.31,3,125,3
2184,,1,18,0.38,1,0,0
2185,116.0,2,194,4.04,1,248,67
2186,,30,1,0.02,1,0,0
2187,63.0,365,0,,5,166,0
2188,120.0,3,10,0.21,1,7,0
2189,277.0,3,112,2.32,2,0,30
2190,94.0,1,80,2.14,2,325,10
2191,,1,10,0.21,1,0,0
2192,55.0,3,28,0.58,2,32,13
2193,,1,5,0.1,2,0,0
2194,167.0,3,116,2.48,1,24,47
2195,,3,0,,1,0,0
2196,168.0,7,109,2.27,2,345,53
2197,88.0,2,116,2.6,1,299,47
2198,,2,19,0.4,1,0,0
2199,,1,6,0.13,2,0,0
2200,125.0,30,10,0.21,4,364,1
2201,130.0,30,5,0.12,4,365,0
2202,135.0,2,160,3.37,1,6,53
2203,150.0,2,102,2.41,2,0,37
2204,241.0,1,99,7.12,1,0,97
2205,117.0,1,119,2.53,1,40,43
2206,900.0,7,0,,1,121,0
2207,180.0,1,176,3.68,2,77,21
2208,62.0,30,7,0.18,4,41,5
2209,93.0,2,91,2.09,1,70,34
2210,249.0,1,1,0.03,3,5,0
2211,200.0,30,0,,1,365,0
2212,,30,0,,1,0,0
2213,128.0,1,0,,2,0,0
2214,138.0,1,0,,2,0,0
2215,171.0,2,131,5.16,1,0,73
2216,104.0,16,47,1.0,1,64,7
2217,106.0,1,196,4.12,1,91,76
2218,123.0,5,46,1.0,1,163,14
2219,510.0,3,14,0.3,1,274,2
2220,,1,2,0.04,2,0,0
2221,115.0,1,16,3.45,1,123,16
2222,199.0,4,0,,1,0,0
2223,429.0,3,28,1.55,1,168,16
2224,140.0,30,6,0.14,1,358,0
2225,99.0,30,1,0.29,1,0,1
2226,80.0,2,139,2.98,1,36,21
2227,,30,0,,2,0,0
2228,116.0,60,16,0.34,1,163,3
2229,529.0,2,38,0.81,1,249,16
2230,40.0,30,8,0.43,6,100,6
2231,146.0,2,103,2.65,1,0,35
2232,,30,0,,1,0,0
2233,750.0,2,14,1.9,1,349,14
2234,743.0,2,116,2.5,1,301,31
2235,,2,1,0.02,1,0,0
2236,,1,10,0.21,1,0,0
2237,110.0,30,21,0.45,1,24,5
2238,115.0,30,7,0.16,42,253,0
2239,126.0,2,24,2.67,1,162,24
2240,133.0,10,66,1.45,1,0,36
2241,124.0,5,45,2.99,1,132,34
2242,276.0,4,83,1.89,1,336,22
2243,,1,1,0.02,1,0,0
2244,119.0,3,138,2.97,1,151,32
2245,121.0,30,9,0.22,1,271,5
2246,142.0,4,101,2.18,1,234,28
2247,259.0,90,4,0.09,1,338,0
2248,267.0,2,40,0.87,1,0,29
2249,,30,1,0.24,1,0,1
2250,256.0,3,119,2.56,1,0,37
2251,198.0,2,204,4.38,1,199,60
2252,199.0,30,6,0.21,7,291,2
2253,,2,4,0.09,1,0,0
2254,263.0,1,128,2.79,1,218,61
2255,151.0,3,88,2.17,1,69,34
2256,175.0,30,16,0.36,1,291,2
2257,200.0,30,1,0.02,2,83,0
2258,99.0,28,25,0.55,4,151,11
2259,,5,0,,1,0,0
2260,89.0,27,28,0.63,4,62,11
2261,350.0,3,59,1.29,1,169,25
2262,750.0,5,7,0.4,1,18,3
2263,133.0,2,81,4.0,1,0,32
2264,96.0,4,32,0.76,1,263,13
2265,93.0,25,22,0.48,4,58,9
2266,200.0,30,0,,2,83,0
2267,75.0,3,73,1.59,1,85,20
2268,,30,0,,1,0,0
2269,306.0,3,59,1.49,1,219,11
2270,305.0,3,78,1.9,1,172,27
2271,169.0,1,4,0.09,4,0,0
2272,169.0,1,0,,4,0,0
2273,169.0,1,0,,4,0,0
2274,169.0,1,1,0.02,4,0,0
2275,254.0,30,55,2.07,1,275,2
2276,,3,9,0.44,1,0,2
2277,90.0,2,111,2.4,1,35,41
2278,,2,0,,3,0,0
2279,127.0,3,39,1.86,21,141,13
2280,121.0,3,215,4.64,1,59,85
2281,100.0,4,4,0.69,1,50,4
2282,,1,96,2.09,1,0,28
2283,,30,3,0.07,4,0,0
2284,409.0,30,16,0.37,3,89,13
2285,166.0,4,13,0.31,1,78,10
2286,,5,0,,1,0,0
2287,300.0,3,41,1.12,1,13,7
2288,35.0,34,10,0.22,4,58,3
2289,35.0,30,7,0.16,4,2,1
2290,112.0,3,84,4.95,10,0,52
2291,200.0,30,0,,1,358,0
2292,230.0,31,4,0.1,38,38,1
2293,55.0,30,9,0.32,2,94,5
2294,,3,1,0.02,1,0,0
2295,239.0,3,63,1.49,1,258,21
2296,,30,1,0.02,1,0,0
2297,199.0,3,73,2.61,1,114,38
2298,,90,0,,1,0,0
2299,257.0,2,72,3.61,1,324,38
2300,98.0,5,167,3.63,1,57,57
2301,,3,1,0.02,2,0,0
2302,151.0,2,252,5.49,1,25,70
2303,79.0,1,83,1.81,3,72,14
2304,,2,1,0.02,2,0,0
2305,169.0,30,0,,3,365,0
2306,169.0,30,2,0.07,3,365,0
2307,169.0,30,1,0.06,3,346,0
2308,305.0,4,55,1.29,2,0,19
2309,129.0,7,3,0.18,12,8,2
2310,143.0,2,314,6.87,3,52,80
2311,499.0,3,10,0.36,1,87,3
2312,65.0,2,84,1.83,2,0,18
2313,160.0,4,88,2.25,1,11,25
2314,385.0,30,3,0.16,41,365,1
2315,852.0,1,5,0.34,41,282,3
2316,100.0,30,8,0.19,1,314,3
2317,201.0,30,108,2.45,3,69,1
2318,190.0,30,5,0.31,1,322,3
2319,155.0,30,3,0.07,1,77,0
2320,150.0,2,9,0.2,1,0,0
2321,,30,0,,1,0,0
2322,,1,3,0.07,1,0,0
2323,112.0,3,123,3.37,1,73,44
2324,70.0,2,165,3.94,1,31,43
2325,176.0,2,167,3.82,3,52,59
2326,240.0,30,4,0.21,41,341,2
2327,250.0,30,2,0.07,41,342,0
2328,199.0,6,24,0.54,6,82,2
2329,250.0,4,8,0.28,1,0,4
2330,99.0,30,2,0.08,2,243,0
2331,135.0,3,89,2.01,1,224,24
2332,150.0,3,58,1.3,2,162,6
2333,228.0,4,7,0.18,4,4,5
2334,194.0,2,87,2.13,1,223,36
2335,199.0,30,87,2.01,3,41,9
2336,900.0,30,3,0.07,5,364,0
2337,166.0,2,189,6.33,1,0,85
2338,100.0,30,9,0.22,5,77,4
2339,45.0,90,11,0.28,1,197,5
2340,130.0,30,8,0.22,1,364,0
2341,85.0,29,17,0.39,1,85,11
2342,129.0,2,67,1.55,1,32,35
2343,,1,0,,1,0,0
2344,168.0,2,184,4.51,1,7,48
2345,129.0,90,8,0.28,3,213,2
2346,25.0,60,7,0.17,1,133,3
2347,,30,2,0.05,3,0,0
2348,187.0,90,10,0.23,1,364,1
2349,,30,1,0.03,3,0,0
2350,189.0,30,3,0.13,1,225,2
2351,158.0,30,3,0.28,19,0,3
2352,,30,0,,3,0,0
2353,180.0,1,95,2.23,1,0,42
2354,254.0,3,43,1.01,1,165,34
2355,115.0,30,3,0.07,42,77,0
2356,185.0,30,1,0.06,42,89,0
2357,105.0,2,122,2.85,5,70,38
2358,86.0,2,131,3.05,5,79,33
2359,165.0,5,58,1.41,1,236,12
2360,102.0,3,48,1.11,5,19,9
2361,334.0,30,4,0.1,2,120,1
2362,103.0,2,236,5.47,1,156,51
2363,104.0,30,3,0.18,6,74,1
2364,,30,0,,1,0,0
2365,100.0,30,10,0.33,5,180,3
2366,133.0,30,19,0.45,1,44,5
2367,395.0,7,50,1.26,1,0,18
2368,135.0,30,13,0.33,1,49,4
2369,150.0,30,25,0.59,1,119,2
2370,100.0,30,8,0.4,2,148,4
2371,120.0,90,2,0.05,42,287,0
2372,85.0,30,13,0.4,2,303,4
2373,103.0,30,17,0.44,2,255,3
2374,115.0,30,3,0.33,42,210,3
2375,220.0,30,8,0.19,2,224,3
2376,101.0,30,29,0.7,1,245,8
2377,,2,0,,2,0,0
2378,134.0,30,1,0.1,2,286,1
2379,125.0,30,5,0.18,1,307,1
2380,54.0,3,52,1.23,1,84,14
2381,707.0,3,4,0.1,1,13,2
2382,120.0,3,89,2.12,1,25,23
2383,110.0,2,217,5.41,1,132,73
2384,171.0,3,41,0.98,1,70,14
2385,163.0,3,94,2.46,1,67,43
2386,287.0,3,10,0.73,1,125,8
2387,566.0,30,1,0.03,7,227,0
2388,343.0,2,23,0.78,1,16,14
2389,292.0,3,74,1.84,2,160,24
2390,100.0,30,78,1.89,5,179,5
2391,225.0,300,0,,1,89,0
2392,552.0,30,17,0.41,6,179,0
2393,,2,0,,1,0,0
2394,259.0,2,110,2.76,1,0,43
