,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
5214,139.0,180,0,,1,347,0
5215,280.0,2,22,4.05,1,309,22
5216,215.0,2,14,2.9,1,100,14
5217,150.0,3,1,0.17,1,89,1
5218,135.0,30,1,0.24,1,89,1
5219,79.0,1,37,5.72,2,0,37
5220,125.0,2,21,3.42,1,166,21
5221,203.0,30,3,0.54,4,122,3
5222,169.0,30,1,0.21,10,223,1
5223,39.0,9,1,0.32,6,270,1
5224,110.0,3,8,1.59,2,42,8
5225,228.0,30,1,0.37,1,222,1
5226,155.0,2,26,4.04,1,341,26
5227,,45,0,,1,117,0
5228,250.0,2,10,2.44,1,179,10
5229,,2,9,1.39,1,0,9
5230,189.0,3,26,4.79,1,52,26
5231,543.0,3,0,,2,15,0
5232,129.0,30,1,0.41,11,263,1
5233,250.0,2,9,2.87,1,180,9
5234,290.0,4,11,2.41,1,102,11
5235,172.0,30,1,0.24,134,49,1
5236,141.0,30,3,0.6,134,67,3
5237,100.0,30,0,,134,59,0
5238,139.0,30,2,0.79,10,133,2
5239,499.0,7,11,1.7,1,107,11
5240,,30,0,,1,354,0
5241,436.0,1,33,5.24,2,245,33
5242,79.0,30,0,,1,59,0
5243,84.0,30,26,4.08,5,0,26
5244,220.0,1,17,2.73,3,124,17
5245,150.0,30,1,0.2,1,156,1
5246,118.0,30,2,0.4,1,158,2
5247,126.0,30,2,0.39,4,167,2
5248,129.0,30,1,0.2,11,355,1
5249,156.0,1,19,3.96,1,0,19
5250,250.0,30,0,,13,260,0
5251,237.0,1,7,1.33,2,14,7
5252,319.0,2,1,0.37,1,361,1
5253,140.0,30,1,0.27,1,130,1
5254,175.0,30,1,0.3,4,364,1
5255,457.0,2,1,0.31,2,89,1
5256,230.0,30,3,0.65,1,51,3
5257,84.0,30,1,1.0,134,316,1
5258,202.0,2,18,6.07,1,0,18
5259,793.0,3,23,3.97,1,331,23
5260,110.0,1,6,1.05,7,60,6
5261,71.0,1,58,9.26,1,0,58
5262,133.0,1,40,6.35,2,0,40
5263,139.0,1,10,1.6,1,334,10
5264,71.0,30,1,0.27,134,48,1
5265,222.0,2,6,1.45,1,347,6
5266,126.0,1,24,3.83,1,0,24
5267,220.0,3,2,0.5,2,89,2
5268,56.0,1,8,1.52,18,178,8
5269,56.0,1,7,1.24,18,0,7
5270,98.0,1,23,3.71,2,311,23
5271,149.0,30,1,0.24,1,358,1
5272,72.0,2,31,5.14,1,69,31
5273,165.0,1,16,2.73,1,351,16
5274,143.0,30,1,0.2,1,178,1
5275,161.0,1,19,3.54,1,261,19
5276,241.0,1,20,4.32,1,347,20
5277,129.0,2,12,3.1,1,264,12
5278,151.0,1,2,0.52,2,288,2
5279,55.0,1,1,0.17,18,365,1
5280,55.0,30,1,0.2,1,269,1
5281,,2,1,0.17,1,0,1
5282,108.0,1,21,4.34,4,89,21
5283,118.0,1,25,5.43,4,90,25
5284,187.0,1,23,4.23,1,256,23
5285,370.0,2,6,1.11,1,60,6
5286,150.0,30,2,0.67,1,88,2
5287,89.0,2,28,4.97,1,79,28
5288,168.0,30,0,,3,364,0
5289,110.0,1,52,9.63,4,237,52
5290,240.0,5,2,0.34,1,10,2
5291,80.0,30,2,0.44,6,194,2
5292,500.0,4,2,0.45,1,36,2
5293,,2,5,1.16,1,0,5
5294,400.0,1,15,2.73,1,170,15
5295,100.0,1,16,2.58,1,0,16
5296,148.0,1,21,3.39,1,39,21
5297,443.0,2,17,3.09,1,269,17
5298,999.0,30,0,,1,365,0
5299,112.0,30,0,,134,299,0
5300,101.0,30,1,0.41,134,286,1
5301,139.0,30,2,0.38,134,246,2
5302,74.0,30,1,0.19,134,291,1
5303,53.0,30,2,0.52,134,194,2
5304,57.0,2,25,4.01,1,59,25
5305,145.0,2,31,5.89,1,4,31
5306,164.0,30,0,,1,364,0
5307,110.0,30,0,,1,90,0
5308,81.0,30,9,3.25,134,342,9
5309,399.0,30,2,1.05,3,153,2
5310,169.0,1,18,3.35,1,0,18
5311,115.0,2,9,1.67,3,101,9
5312,145.0,2,2,0.46,3,59,2
5313,352.0,1,30,5.2,1,326,30
5314,130.0,30,0,,1,185,0
5315,164.0,2,25,4.29,1,123,25
5316,60.0,30,2,0.42,4,340,2
5317,144.0,1,23,4.26,1,0,23
5318,60.0,30,3,0.62,4,256,3
5319,415.0,1,45,8.44,1,0,45
5320,80.0,1,21,3.73,1,360,21
5321,101.0,2,17,3.04,1,62,17
5322,956.0,30,4,0.83,3,229,4
5323,160.0,2,23,4.83,1,53,23
5324,679.0,3,9,1.97,1,73,9
5325,140.0,2,1,0.17,1,34,1
5326,109.0,1,36,6.51,1,146,36
5327,220.0,1,13,2.36,1,26,13
5328,70.0,1,44,7.54,4,0,44
5329,118.0,1,16,2.91,4,57,16
5330,39.0,1,3,0.58,6,365,3
5331,103.0,1,38,6.44,4,71,38
5332,104.0,1,32,5.49,2,0,32
5333,135.0,1,1,0.21,19,364,1
5334,110.0,2,26,4.38,5,123,26
5335,116.0,30,1,0.29,1,4,1
5336,189.0,30,1,0.23,3,102,1
5337,108.0,3,41,7.03,1,171,41
5338,187.0,5,13,2.12,1,332,13
5339,171.0,2,21,4.34,1,32,21
5340,,1,7,1.17,1,0,7
5341,116.0,1,22,3.61,1,302,22
5342,,30,0,,1,0,0
5343,99.0,1,11,2.23,5,136,11
5344,149.0,2,15,2.49,1,264,15
5345,110.0,30,3,0.82,1,364,3
5346,263.0,2,7,1.28,1,179,7
5347,202.0,30,1,0.28,1,159,1
5348,,30,0,,1,90,0
5349,286.0,2,18,3.48,1,96,18
5350,381.0,3,10,2.26,1,329,10
5351,153.0,1,36,6.17,1,166,36
5352,200.0,2,10,1.7,1,356,10
5353,167.0,1,15,2.73,1,178,15
5354,159.0,1,3,0.51,1,149,3
5355,130.0,30,0,,4,170,0
5356,187.0,30,21,4.01,3,0,21
5357,102.0,1,13,2.18,1,40,13
5358,148.0,1,24,3.98,43,59,24
5359,95.0,3,6,1.33,16,179,6
5360,110.0,30,0,,2,146,0
5361,247.0,1,29,4.83,43,0,29
5362,124.0,2,14,2.78,2,344,14
5363,124.0,30,1,0.47,2,179,1
5364,314.0,30,20,3.49,1,0,20
5365,79.0,30,1,0.26,21,233,1
5366,120.0,2,0,,1,138,0
5367,129.0,2,14,2.46,1,170,14
5368,316.0,90,0,,1,364,0
5369,56.0,5,8,1.39,7,0,8
5370,51.0,3,5,1.04,7,334,5
5371,843.0,2,5,0.93,1,344,5
5372,69.0,30,2,0.57,8,130,2
5373,69.0,30,0,,8,225,0
5374,96.0,1,17,4.55,1,0,17
5375,200.0,2,14,2.56,1,353,14
5376,99.0,30,0,,1,108,0
5377,99.0,30,2,0.44,10,140,2
5378,198.0,30,0,,1,254,0
5379,130.0,3,20,4.23,1,160,20
5380,400.0,2,1,0.3,2,71,1
5381,107.0,1,28,5.03,43,106,28
5382,278.0,4,3,0.81,1,365,3
5383,110.0,30,2,0.57,1,11,2
5384,,1,6,1.08,1,0,6
5385,111.0,7,0,,2,50,0
5386,100.0,30,4,0.89,1,274,4
5387,45.0,3,3,0.55,7,349,3
5388,95.0,30,17,3.13,5,138,17
5389,99.0,30,8,1.45,5,37,8
5390,75.0,1,13,2.55,1,63,13
5391,50.0,30,1,0.22,2,364,1
5392,,2,6,1.1,1,0,6
5393,260.0,1,15,3.13,1,46,15
5394,250.0,5,5,0.9,1,92,5
5395,116.0,1,18,3.91,1,74,18
5396,286.0,1,15,3.02,1,66,15
5397,80.0,30,3,0.7,3,364,3
5398,39.0,30,2,0.35,7,353,2
5399,937.0,9,0,,30,364,0
5400,131.0,1,20,3.55,134,0,20
5401,158.0,3,18,3.25,1,189,18
5402,160.0,2,8,1.45,1,0,8
5403,83.0,1,11,2.06,4,179,11
5404,158.0,30,2,0.57,1,56,2
5405,125.0,30,2,0.45,37,208,2
5406,99.0,1,22,4.55,1,0,22
5407,80.0,31,1,0.46,1,175,1
5408,80.0,30,0,,2,364,0
5409,96.0,2,19,3.29,1,165,19
5410,90.0,30,0,,7,269,0
5411,101.0,2,18,3.27,1,94,18
5412,129.0,2,6,1.3,5,81,6
5413,130.0,30,15,3.08,1,155,15
5414,227.0,2,13,2.45,1,357,13
5415,75.0,30,0,,3,134,0
5416,499.0,3,5,0.96,2,7,5
5417,68.0,2,16,2.76,6,269,16
5418,120.0,2,7,3.33,1,112,7
5419,55.0,2,14,2.5,6,269,14
5420,45.0,1,10,1.88,18,180,10
5421,107.0,1,10,2.03,134,344,10
